,Accuracy (%),Accuracy (%),Validity Rate (%),Validity Rate (%),Average Similarity (%),Average Similarity (%),Parsing Errors,Parsing Errors,RMSCE,RMSCE
Mode,Agent,Baseline,Agent,Baseline,Agent,Baseline,Agent,Baseline,Agent,Baseline
Model,,,,,,,,,,
claude-haiku-4.5,11.51,9.62,88.68,86.04,0.413,0.407,60,74,0.431890727,0.364137023
claude-opus-4.5,25.66,28.49,97.74,97.17,0.5871,0.6205,12,15,0.249180007,0.154321812
claude-sonnet-4.5,18.11,17.55,96.6,95.09,0.5004,0.5198,18,26,0.404744664,0.349391059
deepseek-v3.1,7.36,6.79,84.34,86.23,0.3731,0.3542,83,73,0.519710351,0.555768168
deepseek-v3.2,11.32,5.66,85.28,86.04,0.4156,0.3165,78,74,0.476807796,0.524960596
deepseek-v3.2-thinking,16.6,20.38,71.13,56.79,0.5355,0.6412,153,229,0.272748311,0.23171114
gemini-2.5-pro,22.08,30.19,76.98,87.74,0.6113,0.6507,122,65,0.346131186,0.276826069
gemini-3-flash,51.51,51.13,94.72,95.09,0.7769,0.7806,28,26,0.238850783,0.219423022
gemini-3-pro,48.3,52.08,96.79,96.04,0.7443,0.7739,17,21,0.248503451,0.236861533
gpt-5.2,11.7,7.36,67.55,74.91,0.4657,0.3897,172,133,0.242492856,0.245195546
kimi-k2-thinking,11.32,20.57,73.02,71.89,0.4717,0.602,143,149,0.381891999,0.300817283
qwen3-max,15.28,4.72,83.02,89.62,0.4596,0.3115,90,55,0.480812563,0.577497237